DateTime,Temperature,Pole1A,Pole1B,Pole2A,Pole2B,Pole3A,Pole3B,Pole4A,Pole4B,Pole5A,Pole5B,Pole6A,Pole6B,StockPole,PowerConsumption(kW-min),HTTP-ERR,HOST-IP
02/02/2020-09:31:32,29.075,False,False,False,False,True,False,True,True,True,False,False,True,True,2.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:32:32,29.1884,False,False,False,True,True,False,True,True,True,False,False,True,True,3.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:33:32,29.1884,False,False,False,False,False,False,False,False,False,False,False,True,True,0.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:34:32,29.1884,False,False,False,False,False,False,False,False,True,False,False,True,True,1.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:35:32,29.3,False,False,False,False,False,False,False,True,True,False,False,True,True,1.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:36:32,29.3,False,False,False,False,False,False,True,True,True,False,False,True,True,2.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:37:33,29.1884,False,False,False,False,True,False,True,True,True,False,False,True,True,2.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:38:32,29.1884,False,False,False,True,True,False,True,True,True,False,False,True,True,3.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:39:32,29.1884,False,False,True,True,True,False,True,True,True,False,False,True,True,3.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:42:35,29.4134,False,False,False,False,False,False,False,False,False,False,False,True,True,0.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:43:35,29.4134,False,False,False,False,False,False,False,False,True,False,False,True,True,1.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:44:35,29.525,False,False,False,False,False,False,False,True,True,False,False,True,True,1.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:45:35,29.4134,False,False,False,False,False,False,True,True,True,False,False,True,True,2.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:46:34,29.4134,False,False,False,False,True,False,True,True,True,False,False,True,True,2.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:48:19,29.4134,False,False,False,False,False,False,False,False,False,False,False,True,True,0.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:49:19,29.525,False,False,False,False,False,False,False,False,True,False,False,True,True,1.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:50:19,29.525,False,False,False,False,False,False,False,True,True,False,False,True,True,1.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:51:19,29.1884,False,False,False,False,False,False,True,True,True,False,False,True,True,2.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:52:18,29.4134,False,False,False,False,True,False,True,True,True,False,False,True,True,2.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:53:19,29.1884,False,False,False,True,True,False,True,True,True,False,False,True,True,3.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:54:18,29.1884,False,False,True,True,True,False,True,True,True,False,False,True,True,3.5,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:55:19,29.4134,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:56:19,29.525,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:57:18,29.525,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:58:19,29.3,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-09:59:19,29.3,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:00:19,29.525,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:01:19,29.6384,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:02:18,29.75,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:03:19,29.75,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:04:19,29.6384,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
02/02/2020-10:05:19,29.6384,False,True,True,True,True,False,True,True,True,False,False,True,True,4.0,False,-Heater2A-Heater3B-Heater4A-Heater5B-Heater6A
